Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Randomise questionnaire elements?,Question Key,Response
1,1602144084996,08/10/2020 08:01:24,1602144084719,1,08/10/2020 09:01:24,20655,18,questionnaire-clby,,7120355,BLIND,2069373,,complete,,5f7ec72f611d251a560f623f,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 85.0.4183.121,1366x768,1366x688,,Background session 1,1,3,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1602144097032,08/10/2020 08:01:37,1602144096806,1,08/10/2020 09:01:36,20655,18,questionnaire-clby,,7120355,BLIND,2069373,,complete,,5f7ec72f611d251a560f623f,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 85.0.4183.121,1366x768,1366x688,,Background session 1,1,3,attention-pass,attention-pass,No,gender,Female
3,1602144097094,08/10/2020 08:01:37,1602144096809,1,08/10/2020 09:01:36,20655,18,questionnaire-clby,,7120355,BLIND,2069373,,complete,,5f7ec72f611d251a560f623f,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 85.0.4183.121,1366x768,1366x688,,Background session 1,1,3,attention-pass,attention-pass,No,gender-quantised,2
4,1602144097094,08/10/2020 08:01:37,1602144096809,1,08/10/2020 09:01:36,20655,18,questionnaire-clby,,7120355,BLIND,2069373,,complete,,5f7ec72f611d251a560f623f,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 85.0.4183.121,1366x768,1366x688,,Background session 1,1,3,attention-pass,attention-pass,No,gender-text,
5,1602144097094,08/10/2020 08:01:37,1602144096809,1,08/10/2020 09:01:36,20655,18,questionnaire-clby,,7120355,BLIND,2069373,,complete,,5f7ec72f611d251a560f623f,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 85.0.4183.121,1366x768,1366x688,,Background session 1,1,3,attention-pass,attention-pass,No,response-2-inmonths,293
6,1602144097094,08/10/2020 08:01:37,1602144096810,1,08/10/2020 09:01:36,20655,18,questionnaire-clby,,7120355,BLIND,2069373,,complete,,5f7ec72f611d251a560f623f,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 85.0.4183.121,1366x768,1366x688,,Background session 1,1,3,attention-pass,attention-pass,No,END QUESTIONNAIRE,12092
1,1602144101247,08/10/2020 08:01:41,1602144101523,1,08/10/2020 09:01:41,20655,18,questionnaire-clby,,7120363,BLIND,2069368,,complete,,5f7ec71f7464561a88ccb6e7,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,,Background session 1,1,17,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1602144117481,08/10/2020 08:01:57,1602144118040,1,08/10/2020 09:01:58,20655,18,questionnaire-clby,,7120363,BLIND,2069368,,complete,,5f7ec71f7464561a88ccb6e7,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,,Background session 1,1,17,attention-pass,attention-pass,No,gender,Female
3,1602144117543,08/10/2020 08:01:57,1602144118047,1,08/10/2020 09:01:58,20655,18,questionnaire-clby,,7120363,BLIND,2069368,,complete,,5f7ec71f7464561a88ccb6e7,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,,Background session 1,1,17,attention-pass,attention-pass,No,gender-quantised,2
4,1602144117543,08/10/2020 08:01:57,1602144118049,1,08/10/2020 09:01:58,20655,18,questionnaire-clby,,7120363,BLIND,2069368,,complete,,5f7ec71f7464561a88ccb6e7,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,,Background session 1,1,17,attention-pass,attention-pass,No,gender-text,
