Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Randomise questionnaire elements?,Question Key,Response
1,1.60241E+12,11/10/2020 08:35,1.60241E+12,-5,11/10/2020 03:35,20655,20,questionnaire-kzn1,,7166642,BLIND,2083616,,complete,,5f82bdf0780ca23e2e8fa915,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x722,,End Survey - Session 1,6,6,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60241E+12,11/10/2020 08:36,1.60241E+12,-5,11/10/2020 03:36,20655,20,questionnaire-kzn1,,7166642,BLIND,2083616,,complete,,5f82bdf0780ca23e2e8fa915,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x722,,End Survey - Session 1,6,6,attention-pass,attention-pass,No,strategy-describe,
3,1.60241E+12,11/10/2020 08:36,1.60241E+12,-5,11/10/2020 03:36,20655,20,questionnaire-kzn1,,7166642,BLIND,2083616,,complete,,5f82bdf0780ca23e2e8fa915,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x722,,End Survey - Session 1,6,6,attention-pass,attention-pass,No,strategy-people,
4,1.60241E+12,11/10/2020 08:36,1.60241E+12,-5,11/10/2020 03:36,20655,20,questionnaire-kzn1,,7166642,BLIND,2083616,,complete,,5f82bdf0780ca23e2e8fa915,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x722,,End Survey - Session 1,6,6,attention-pass,attention-pass,No,strategy-aid,
5,1.60241E+12,11/10/2020 08:36,1.60241E+12,-5,11/10/2020 03:36,20655,20,questionnaire-kzn1,,7166642,BLIND,2083616,,complete,,5f82bdf0780ca23e2e8fa915,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x722,,End Survey - Session 1,6,6,attention-pass,attention-pass,No,strategy-misc,
6,1.60241E+12,11/10/2020 08:36,1.60241E+12,-5,11/10/2020 03:36,20655,20,questionnaire-kzn1,,7166642,BLIND,2083616,,complete,,5f82bdf0780ca23e2e8fa915,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x722,,End Survey - Session 1,6,6,attention-pass,attention-pass,No,END QUESTIONNAIRE,35225
1,1.60241E+12,11/10/2020 08:36,1.60241E+12,1,11/10/2020 09:36,20655,20,questionnaire-kzn1,,7166644,BLIND,2083611,,complete,,5f82bde9480ebf0009a9d5a2,computer,Desktop or Laptop,Mac OS 10.14,Firefox 81.0,1440x900,1383x734,,End Survey - Session 1,6,18,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60241E+12,11/10/2020 08:36,1.60241E+12,1,11/10/2020 09:36,20655,20,questionnaire-kzn1,,7166644,BLIND,2083611,,complete,,5f82bde9480ebf0009a9d5a2,computer,Desktop or Laptop,Mac OS 10.14,Firefox 81.0,1440x900,1383x734,,End Survey - Session 1,6,18,attention-pass,attention-pass,No,strategy-describe,
3,1.60241E+12,11/10/2020 08:36,1.60241E+12,1,11/10/2020 09:36,20655,20,questionnaire-kzn1,,7166644,BLIND,2083611,,complete,,5f82bde9480ebf0009a9d5a2,computer,Desktop or Laptop,Mac OS 10.14,Firefox 81.0,1440x900,1383x734,,End Survey - Session 1,6,18,attention-pass,attention-pass,No,strategy-people,
4,1.60241E+12,11/10/2020 08:36,1.60241E+12,1,11/10/2020 09:36,20655,20,questionnaire-kzn1,,7166644,BLIND,2083611,,complete,,5f82bde9480ebf0009a9d5a2,computer,Desktop or Laptop,Mac OS 10.14,Firefox 81.0,1440x900,1383x734,,End Survey - Session 1,6,18,attention-pass,attention-pass,No,strategy-aid,
